species,decimallatitude,decimallongitude,wc2.1_30s_bio_12,wc2.1_30s_elev,distance_to_water,ndvi
Ardea alba,20.67351,86.91023,1448.0,3.0,0.925,0.5598082013410516
Ardea alba,19.896282,85.43839,1393.0,4.0,0.0,0.4674033195357461
Ardea alba,20.751095,86.8547,1467.0,3.0,2.068363,0.4472580329550288
Ardea alba,19.164545,83.41387,1324.0,219.0,43.30739,0.5037350758475599
Ardea alba,21.450512,84.00696,1618.0,151.0,2.9251068,0.4898785747023208
Ardea alba,20.486645,85.904994,1593.0,25.0,0.0,0.0374244177629524
Ardea alba,20.399683,85.871482,1575.0,22.0,3.8138728,0.3981467220666158
Ardea alba,20.204137,85.792192,1538.0,15.0,1.85,0.4801336770039954
Ardea alba,18.889106,84.175659,1363.0,150.0,35.41675,0.6657602957467408
Ardea alba,21.436298,83.91665,1595.0,168.0,4.625,0.5277844561023677
Ardea alba,20.442825,85.74892,1531.0,28.0,0.0,0.3234438527172131
Ardea alba,18.692873,82.83591,1565.0,885.0,4.9812775,0.4483344068547916
Ardea alba,20.304127,85.80534,1582.0,67.0,7.6277456,0.6258534201358594
Ardea alba,20.091368,85.696724,1496.0,13.0,2.068363,0.5377170101320148
Ardea alba,20.39659,85.82052,1561.0,29.0,2.775,0.6283318876007129
Ardea alba,20.632563,85.861786,1606.0,96.0,8.325,0.7176264088858333
Ardea alba,18.643354,82.96906,1583.0,955.0,16.469156,0.5687263255296813
Ardea alba,20.469181,85.64549,1508.0,46.0,0.925,0.5614128785423228
Ardea alba,21.55705,83.64549,1460.0,252.0,6.5407376,0.5246191898572875
Ardea alba,18.488281,82.88002,1519.0,967.0,20.30791,0.5599329382979352
Ardea alba,20.31533,85.68829,1559.0,79.0,12.025,0.6286299782008309
Ardea alba,19.844631,85.87691,1391.0,8.0,0.0,0.4882257025379447
Ardea alba,20.129454,85.84043,1532.0,14.0,2.9251068,0.5444816659172078
Ardea alba,20.824215,83.895645,1425.0,110.0,3.335135,0.2896217430691787
Ardea alba,19.716805,85.19473,1327.0,5.0,0.925,0.3746488145092622
Ardea alba,20.25671,85.86585,1554.0,17.0,9.25,0.5936980871654884
Ardea alba,20.406822,86.01524,1608.0,18.0,3.7,0.5288112029996963
Ardea alba,20.358027,86.227234,1596.0,13.0,0.925,0.4662707890203353
Ardea alba,18.73852,82.810005,1581.0,894.0,1.85,0.4950228993274196
Ardea alba,18.585676,82.9902,1619.0,1111.0,22.27695,0.6066585058589243
Ardea alba,20.585281,85.86743,1588.0,43.0,3.8138728,0.5035646443953704
Ardea alba,20.491587,85.79889,1555.0,29.0,0.925,0.4216333968651217
Ardea alba,21.47456,87.024124,1521.0,5.0,0.0,0.2998198574780744
Ardea alba,20.38942,85.58725,1490.0,35.0,0.925,0.5197408549828735
Ardea alba,19.29794,84.87814,1241.0,37.0,8.528079,0.5501270635016199
Ardea alba,20.692785,83.43549,1399.0,229.0,25.450111,0.5755860711913731
Ardea alba,21.500652,83.77114,1526.0,204.0,0.925,0.5638780383842039
Ardea alba,20.306763,86.36547,1555.0,9.0,9.157033,0.5529731632618279
Ardea alba,20.035406,83.03952,1353.0,193.0,27.826977,0.3928972786072355
Ardea alba,20.196787,85.84431,1545.0,16.0,3.8138728,0.5536862046245113
Ardea alba,22.052471,86.8083,1524.0,62.0,0.0,0.1751936824507224
Ardea alba,20.384277,85.52496,1467.0,35.0,0.0,0.0695516741629514
Ardea alba,20.415201,86.086365,1613.0,16.0,1.85,0.5077884943098351
Ardea alba,18.9432,84.340454,1812.0,666.0,21.093245,0.7239500521937898
Ardea alba,21.300552,83.59483,1415.0,173.0,26.325962,0.5283096843714384
Ardea alba,20.596455,84.78084,1301.0,62.0,0.0,0.3519760340203604
Ardea alba,20.33835,85.86257,1565.0,22.0,5.9228897,0.4068613482335193
Ardea alba,20.252575,86.28089,1557.0,8.0,9.523458,0.4540257559635632
Ardea alba,20.482964,86.01006,1611.0,22.0,3.335135,0.5674443782367349
Ardea alba,20.4472,85.6989,1521.0,33.0,0.925,0.3948540916721172
Ardea alba,19.854923,86.04594,1378.0,6.0,4.625,0.3836021501116922
Ardea alba,20.777483,84.44087,1378.0,97.0,3.7,0.4819902371751245
Ardea alba,21.756752,83.5751,1411.0,189.0,0.0,0.3137156336309464
Ardea alba,20.841906,84.3183,1414.0,88.0,0.0,0.2044271946304012
Ardea alba,19.882874,85.77736,1418.0,10.0,1.3081475,0.555126244295592
Ardea alba,19.922802,85.39368,1405.0,19.0,4.9812775,0.507181497050321
Ardea alba,21.821266,83.973335,1513.0,195.0,3.335135,0.4681915245639459
Ardea alba,20.350964,85.55922,1484.0,34.0,0.0,0.4977877587512089
Ardea alba,21.491198,83.916466,1594.0,159.0,0.0,0.2642526353150933
Ardea alba,21.120214,86.53609,1635.0,17.0,18.243853,0.4648481318599203
Ardea alba,20.156908,85.76206,1522.0,14.0,1.85,0.5146020023701244
Ardea alba,18.361694,81.94367,1592.0,190.0,0.925,0.3822879840381441
Ardea alba,18.67216,83.04517,1579.0,909.0,20.538334,0.6602707193072395
Ardea alba,20.762905,84.51422,1360.0,102.0,4.9812775,0.5582945858496886
Ardea alba,20.765467,84.394005,1376.0,86.0,0.925,0.4856667530164147
Ardea alba,21.41714,86.60065,1850.0,171.0,2.068363,0.7757569152451603
Ardea alba,20.993412,83.81189,1453.0,126.0,0.925,0.4968428330078335
Ardea alba,20.474611,86.131424,1612.0,16.0,0.925,0.5388039632466323
Ardea alba,20.814526,82.84589,1352.0,336.0,10.546622,0.5173439968104738
Ardea alba,20.262087,85.74806,1547.0,38.0,10.005404,0.5657976061355949
Ardea alba,20.618105,84.72426,1315.0,102.0,0.925,0.514769876666124
Ardea alba,19.517298,84.67759,1370.0,74.0,17.379171,0.6373612452572847
Ardea alba,20.239122,85.69975,1538.0,46.0,12.34104,0.4719915016780092
Ardea alba,19.388372,85.04677,1219.0,8.0,2.068363,0.5238980551910326
Ardea alba,20.550392,86.16823,1606.0,13.0,4.625,0.5252468168776435
Ardea alba,21.057413,86.496025,1632.0,18.0,14.8,0.4809503086948081
Ardea alba,20.182615,85.63808,1523.0,50.0,9.523458,0.4964452473336754
Ardea alba,21.251389,86.26028,1948.0,444.0,5.3936305,0.7453507355302694
Ardea alba,21.486137,83.855255,1573.0,204.0,0.0,0.3444255519539859
Ardea alba,21.731688,84.97699,1441.0,142.0,3.8138728,0.384001356572283
Ardea alba,19.848726,85.5538,1384.0,1.0,0.0,0.4471278006141864
Ardea alba,20.897455,83.83325,1436.0,118.0,0.925,0.4190965181891405
Ardea alba,20.6719,86.8215,1459.0,3.0,1.85,0.3312288283754175
Ardea alba,19.83044,85.60209,1380.0,5.0,0.0,0.4940717107448484
Ardea alba,18.60623,82.80184,1529.0,887.0,4.9812775,0.4587795412301219
Ardea alba,20.122295,86.42201,1445.0,4.0,0.0,0.4193004496427193
Ardea alba,20.019184,82.79602,1292.0,258.0,43.000065,0.494381278133831
Ardea alba,20.35349,85.48973,1458.0,39.0,0.925,0.5543562303827825
Ardea alba,20.520658,85.62586,1500.0,52.0,6.734102,0.5489926539982797
Ardea alba,18.47503,82.92701,1532.0,975.0,24.28015,0.5162242059124844
Ardea alba,19.857996,82.99439,1352.0,227.0,35.22295,0.5062168357336583
Ardea alba,20.315811,86.61078,1467.0,4.0,2.616295,0.5591581677161979
Ardea alba,20.759798,84.5699,1364.0,187.0,7.6277456,0.7371362184170501
Ardea alba,20.143398,83.42998,1392.0,209.0,17.280426,0.4794474760561759
Ardea alba,20.63754,85.547295,1461.0,81.0,11.441618,0.5285526970854715
Ardea alba,20.453918,85.581314,1482.0,36.0,0.0,0.4931886181157848
Ardea alba,19.514168,85.097435,1264.0,8.0,0.925,0.4108774735575236
Ardea alba,19.455362,85.14146,1222.0,9.0,1.3081475,0.5718095935035936
Ardea alba,19.887932,85.59415,1409.0,6.0,0.0,0.4929981218809713
Ardea alba,20.308544,86.24003,1590.0,15.0,4.9812775,0.6720785557711836
Ardea alba,19.931698,86.28141,1389.0,4.0,2.9251068,0.2945478799807706
Ardea alba,19.815641,85.82754,1376.0,15.0,2.068363,0.3875772894160006
Ardea alba,20.781052,86.37153,1621.0,12.0,3.8138728,0.4917509152344203
