species,decimallatitude,decimallongitude
Ardea alba,19.667442,85.43948
Ardea alba,19.691858,85.29811
Ardea alba,20.67351,86.91023
Ardea alba,19.896282,85.43839
Ardea alba,20.683863,86.91313
Ardea alba,19.661362,85.46688
Ardea alba,20.751095,86.8547
Ardea alba,19.164545,83.41387
Ardea alba,21.450512,84.00696
Ardea alba,19.844963,85.478807
Ardea alba,19.901916,85.43719
Ardea alba,19.897197,85.430825
Ardea alba,20.486645,85.904994
Ardea alba,20.399683,85.871482
Ardea alba,20.204137,85.792192
Ardea alba,18.889106,84.175659
Ardea alba,19.895288,85.439297
Ardea alba,21.436298,83.91665
Ardea alba,20.481241,85.901634
Ardea alba,19.664291,85.21573
Ardea alba,19.892822,85.43904
Ardea alba,20.442825,85.74892
Ardea alba,18.692873,82.83591
Ardea alba,20.717695,86.81989
Ardea alba,20.304127,85.80534
Ardea alba,20.091368,85.696724
Ardea alba,20.39659,85.82052
Ardea alba,20.632563,85.861786
Ardea alba,19.700153,85.30718
Ardea alba,19.896702,85.43679
Ardea alba,18.643354,82.96906
Ardea alba,20.469181,85.64549
Ardea alba,21.55705,83.64549
Ardea alba,18.488281,82.88002
Ardea alba,19.64588,85.40629
Ardea alba,20.31533,85.68829
Ardea alba,19.844631,85.87691
Ardea alba,20.129454,85.84043
Ardea alba,20.824215,83.895645
Ardea alba,19.716805,85.19473
Ardea alba,20.25671,85.86585
Ardea alba,20.406822,86.01524
Ardea alba,20.512373,85.63619
Ardea alba,20.715147,86.865944
Ardea alba,20.733559,86.869514
Ardea alba,20.358027,86.227234
Ardea alba,20.404078,85.82584
Ardea alba,19.415293,85.10482
Ardea alba,19.667807,85.438614
Ardea alba,20.469477,85.77331
Ardea alba,18.73852,82.810005
Ardea alba,18.585676,82.9902
Ardea alba,20.585281,85.86743
Ardea alba,20.491587,85.79889
Ardea alba,21.47456,87.024124
Ardea alba,20.38942,85.58725
Ardea alba,19.29794,84.87814
Ardea alba,19.426338,85.08204
Ardea alba,20.692785,83.43549
Ardea alba,21.500652,83.77114
Ardea alba,20.306763,86.36547
Ardea alba,20.035406,83.03952
Ardea alba,19.694593,85.265686
Ardea alba,20.723013,86.863716
Ardea alba,20.493446,85.76254
Ardea alba,20.196787,85.84431
Ardea alba,20.407303,85.61147
Ardea alba,19.7098,85.190384
Ardea alba,22.052471,86.8083
Ardea alba,19.670189,85.42557
Ardea alba,20.384277,85.52496
Ardea alba,20.73451,86.86886
Ardea alba,19.678173,85.5108
Ardea alba,20.45373,85.73484
Ardea alba,19.700428,85.23863
Ardea alba,20.540924,85.86709
Ardea alba,18.55268,82.960144
Ardea alba,20.415201,86.086365
Ardea alba,20.46638,85.63486
Ardea alba,20.146832,86.490135
Ardea alba,19.91659,85.43315
Ardea alba,19.689613,85.29456
Ardea alba,18.9432,84.340454
Ardea alba,20.507887,85.911736
Ardea alba,21.300552,83.59483
Ardea alba,19.642057,85.446365
Ardea alba,20.596455,84.78084
Ardea alba,19.700941,85.42102
Ardea alba,19.637638,85.432106
Ardea alba,20.727085,86.88068
Ardea alba,20.33835,85.86257
Ardea alba,20.252575,86.28089
Ardea alba,20.482964,86.01006
Ardea alba,20.4472,85.6989
Ardea alba,19.854923,86.04594
Ardea alba,20.74087,86.86834
Ardea alba,20.849009,83.915825
Ardea alba,20.777483,84.44087
Ardea alba,20.377184,85.827065
Ardea alba,19.63058,85.41724
Ardea alba,21.756752,83.5751
Ardea alba,20.841906,84.3183
Ardea alba,20.56316,85.86956
Ardea alba,21.53036,83.76566
Ardea alba,19.882874,85.77736
Ardea alba,19.922802,85.39368
Ardea alba,21.821266,83.973335
Ardea alba,19.89678,85.4412
Ardea alba,19.892992,85.43846
Ardea alba,20.350964,85.55922
Ardea alba,21.491198,83.916466
Ardea alba,21.120214,86.53609
Ardea alba,19.919466,85.42624
Ardea alba,20.156908,85.76206
Ardea alba,19.766667,85.333333
Ardea alba,20.752996,86.828384
Ardea alba,20.419239,85.82074
Ardea alba,20.430471,85.68473
Ardea alba,20.855953,83.90921
Ardea alba,21.49037,83.909195
Ardea alba,18.361694,81.94367
Ardea alba,18.67216,83.04517
Ardea alba,20.48845,85.86901
Ardea alba,20.762905,84.51422
Ardea alba,20.765467,84.394005
Ardea alba,20.26387,85.88756
Ardea alba,20.468576,85.90343
Ardea alba,19.691666,85.25692
Ardea alba,21.41714,86.60065
Ardea alba,20.993412,83.81189
Ardea alba,19.756365,85.37613
Ardea alba,19.88877,85.43004
Ardea alba,20.474611,86.131424
Ardea alba,20.861965,83.89003
Ardea alba,20.345592,85.71589
Ardea alba,20.446505,85.744354
Ardea alba,20.827778,83.90722
Ardea alba,20.441984,85.691185
Ardea alba,20.814526,82.84589
Ardea alba,20.263163,86.2895
Ardea alba,20.262087,85.74806
Ardea alba,20.491728,85.764244
Ardea alba,20.394716,85.80676
Ardea alba,20.202034,85.79566
Ardea alba,20.40744,85.62955
Ardea alba,20.586573,85.872345
Ardea alba,20.437685,85.66281
Ardea alba,20.2051,85.8122
Ardea alba,20.618105,84.72426
Ardea alba,20.402514,85.827126
Ardea alba,19.517298,84.67759
Ardea alba,19.89529,85.44004
Ardea alba,20.239122,85.69975
Ardea alba,19.388372,85.04677
Ardea alba,19.362402,85.01138
Ardea alba,20.550392,86.16823
Ardea alba,19.687773,85.43163
Ardea alba,20.143147,85.75484
