species,decimallatitude,decimallongitude
Ardea alba,19.667442,85.43948
Ardea alba,19.691858,85.29811
Ardea alba,20.67351,86.91023
Ardea alba,19.896282,85.43839
Ardea alba,20.751095,86.8547
Ardea alba,19.164545,83.41387
Ardea alba,21.450512,84.00696
Ardea alba,19.844963,85.478807
Ardea alba,20.486645,85.904994
Ardea alba,20.399683,85.871482
Ardea alba,20.204137,85.792192
Ardea alba,18.889106,84.175659
Ardea alba,21.436298,83.91665
Ardea alba,19.664291,85.21573
Ardea alba,20.442825,85.74892
Ardea alba,18.692873,82.83591
Ardea alba,20.717695,86.81989
Ardea alba,20.304127,85.80534
Ardea alba,20.091368,85.696724
Ardea alba,20.39659,85.82052
Ardea alba,20.632563,85.861786
Ardea alba,18.643354,82.96906
Ardea alba,20.469181,85.64549
Ardea alba,21.55705,83.64549
Ardea alba,18.488281,82.88002
Ardea alba,20.31533,85.68829
Ardea alba,19.844631,85.87691
Ardea alba,20.129454,85.84043
Ardea alba,20.824215,83.895645
Ardea alba,19.716805,85.19473
Ardea alba,20.25671,85.86585
Ardea alba,20.406822,86.01524
Ardea alba,20.358027,86.227234
Ardea alba,19.415293,85.10482
Ardea alba,18.73852,82.810005
Ardea alba,18.585676,82.9902
Ardea alba,20.585281,85.86743
Ardea alba,20.491587,85.79889
Ardea alba,21.47456,87.024124
Ardea alba,20.38942,85.58725
Ardea alba,19.29794,84.87814
Ardea alba,20.692785,83.43549
Ardea alba,21.500652,83.77114
Ardea alba,20.306763,86.36547
Ardea alba,20.035406,83.03952
Ardea alba,20.196787,85.84431
Ardea alba,22.052471,86.8083
Ardea alba,20.384277,85.52496
Ardea alba,19.678173,85.5108
Ardea alba,20.415201,86.086365
Ardea alba,20.146832,86.490135
Ardea alba,18.9432,84.340454
Ardea alba,21.300552,83.59483
Ardea alba,20.596455,84.78084
Ardea alba,20.33835,85.86257
Ardea alba,20.252575,86.28089
Ardea alba,20.482964,86.01006
Ardea alba,20.4472,85.6989
Ardea alba,19.854923,86.04594
Ardea alba,20.777483,84.44087
Ardea alba,21.756752,83.5751
Ardea alba,20.841906,84.3183
Ardea alba,19.882874,85.77736
Ardea alba,19.922802,85.39368
Ardea alba,21.821266,83.973335
Ardea alba,20.350964,85.55922
Ardea alba,21.491198,83.916466
Ardea alba,21.120214,86.53609
Ardea alba,20.156908,85.76206
Ardea alba,19.766667,85.333333
Ardea alba,18.361694,81.94367
Ardea alba,18.67216,83.04517
Ardea alba,20.762905,84.51422
Ardea alba,20.765467,84.394005
Ardea alba,21.41714,86.60065
Ardea alba,20.993412,83.81189
Ardea alba,20.474611,86.131424
Ardea alba,20.814526,82.84589
Ardea alba,20.262087,85.74806
Ardea alba,20.618105,84.72426
Ardea alba,19.517298,84.67759
Ardea alba,20.239122,85.69975
Ardea alba,19.388372,85.04677
Ardea alba,20.550392,86.16823
Ardea alba,21.057413,86.496025
Ardea alba,20.182615,85.63808
Ardea alba,21.251389,86.26028
Ardea alba,21.486137,83.855255
Ardea alba,21.731688,84.97699
Ardea alba,19.848726,85.5538
Ardea alba,20.897455,83.83325
Ardea alba,20.6719,86.8215
Ardea alba,19.83044,85.60209
Ardea alba,19.973026,86.339195
Ardea alba,20.546284,86.78749
Ardea alba,18.60623,82.80184
Ardea alba,20.122295,86.42201
Ardea alba,20.019184,82.79602
Ardea alba,20.35349,85.48973
Ardea alba,20.520658,85.62586
Ardea alba,18.47503,82.92701
Ardea alba,19.857996,82.99439
Ardea alba,20.315811,86.61078
Ardea alba,20.759798,84.5699
Ardea alba,20.143398,83.42998
Ardea alba,19.605173,85.25789
Ardea alba,19.72175,85.52822
Ardea alba,20.63754,85.547295
Ardea alba,20.74897,87.00078
Ardea alba,20.453918,85.581314
Ardea alba,19.514168,85.097435
Ardea alba,19.455362,85.14146
Ardea alba,19.887932,85.59415
Ardea alba,19.772951,85.4607
Ardea alba,19.75285,85.5856
Ardea alba,20.308544,86.24003
Ardea alba,19.931698,86.28141
Ardea alba,19.815641,85.82754
Ardea alba,20.781052,86.37153
Ardea alba,18.558586,82.850975
Ardea alba,20.494183,84.89184
Ardea alba,20.94924,84.73056
Ardea alba,19.969736,83.31114
Ardea alba,20.442596,85.89245
Ardea alba,20.678135,86.99022
Ardea alba,20.648125,84.92363
Ardea alba,20.09379,85.986046
Ardea alba,20.172955,85.706764
Ardea alba,19.980932,84.240585
Ardea alba,20.512897,82.636986
Ardea alba,19.928696,83.14623
Ardea alba,18.431314,82.94271
Ardea alba,20.308931,86.309586
Ardea alba,21.530615,83.87048
Ardea alba,20.931667,86.47482
Ardea alba,18.528793,82.98851
Ardea alba,22.253052,84.90094
Ardea alba,20.557789,85.43477
Ardea alba,21.32285,86.90167
Ardea alba,21.007994,83.75737
Ardea alba,19.606358,82.82406
Ardea alba,21.298798,83.341896
Ardea alba,19.668306,84.684456
Ardea alba,19.792126,85.62772
Ardea alba,18.629297,82.92199
Ardea alba,19.124865,84.757286
Ardea alba,19.90306,82.79655
Ardea alba,19.841288,85.383224
Ardea alba,20.441668,82.673615
Ardea alba,20.395834,83.15624
Ardea alba,20.843985,85.09981
Ardea alba,21.261051,84.13645
Ardea alba,18.695766,82.93582
Ardea alba,18.77913,82.76532
Ardea alba,20.492537,86.417885
Ardea alba,19.783165,82.69883
Ardea alba,20.445774,83.3531
Ardea alba,21.118229,85.55273
